# ShellCheck 0.11.0
# Cold per-root RSS (KiB), macOS arm64, 2026-09-23; not a heap limit.
# Refresh using fm-lint.sh header; stale source-closure fingerprints run alone.
# root	source_closure_sha256	max_rss_kib
bin/fm-startup-memory-budget-lib.sh	1cf95792a7a9803be7d3c37b69f0b22a4011ce135db24b991fb144b90705c9f4	34944
bin/fm-startup-memory-budget.sh	25269d7283cf5772907237d9ac769dd975e82b4176edf7120a7abd0213efff42	46256
bin/fm-startup-network.sh	6adc6f5246c68c309bb37bc005d99dd3554d95f1966cf7776388a061f6d5b69c	671472
bin/fm-stow-cascade.sh	1d969bccd44cff27331da59400a7db5925ada05a920066aa4f78c64e35344cd4	268016
bin/fm-stream.sh	327951a52fe30b298d1c02579b0eecc5cd96155780f3c32d28500d3998ea3b76	383792
bin/fm-subagent-pretool-check.sh	d083d23cf18cd4ac1266c5154eed8cd5d459454c3295b2e5eb1ef798b345b391	35920
bin/fm-supervise-daemon.sh	3ebc7d5a20434defc51694acb8360f1703e649928f3163461ae23b4dcd26c95d	2329296
bin/fm-supervision-instructions.sh	1f7680fec49ef4a809bec32bd5cfce15223c31b8b2fd97626c7402a2c62ba0fa	36880
bin/fm-supervision-lib.sh	06c9c1b631f20f5c251f24e90b9d4d1016fb67e6c4367feee0020adb82c45787	27696
bin/fm-supervisor-target-lib.sh	54551908ee31f178d66d8ec6ddc551367aa09011e01d9e7a8177ad5cf52c2b8a	22336
bin/fm-tangle-lib.sh	b2d813367ced9b11315023bf1a4b8c1c640cd43fbff8bd12915021948ad4401a	23584
bin/fm-task-inbox-lib.sh	75236f81da0998e189f2bac31e7f7c3761d5798636463646d4197ca3940a7014	55488
bin/fm-tasks-axi-lib.sh	e7cb8e381a817e9a20013f736429ce5d2041f7d744587ef07ebfac5a8c4a9b31	37936
bin/fm-tasks-axi.sh	30c0ddd1b39cd643a8c559c959c705b5eb9474a1a6fa118faf6dc40e7c22ed91	229600
bin/fm-teardown.sh	8ca348b30bf2dac8e1367f80353fb0e87d8e9c830059ba23029525a586d87413	6135200
bin/fm-test-isolation-proof.sh	6b99bcb66db59bd33fe124ae5c64201cfa116361fc9b6ed16fdf41886fef1ab9	81104
bin/fm-test-run.sh	d906ccd842d54a9c1f3e5265067472e8d068bbd5e939051daa3b59ca5176c7a6	350480
bin/fm-timeout-lib.sh	0dee8b44d992296ef61f1635c10fba6fcbf92527b24874263ddbd1aad664d6b4	30736
bin/fm-timing-lib.sh	badb5a56da45cad0079017497df534a1cfa98f00c4aec2d3eb0eeb7456a83168	28752
bin/fm-tmux-lib.sh	bcb834d91bffc9f92330ef553b1f79a96c89eed7faa00c0710d5c993071fc0c6	312560
bin/fm-tool-update-check.sh	6c26b08799868013b11df9581101a1da435f3fab3f12d722b3dda278927b9785	378144
bin/fm-tool-version-lib.sh	8196a1a3ab17a0f0e9a36c33ac2006bee6054c68277d4111fe7e02abc3d8dd44	25552
bin/fm-trace-context-lib.sh	38e50c415ac84af0c27e618bc39d2d6703fafa472dd5f3ee3ec07d3ecab85d49	31872
bin/fm-transition-lib.sh	3fa0010fc6ba4388f396b959c3dd34849e022773180a3670c244f3bf131bebd5	23360
bin/fm-turnend-guard-cursor.sh	c20fb42728165866e0882e6f66265d93ea4a6c25de20ebdbb1a52154206bd0a0	674640
bin/fm-turnend-guard-grok.sh	e1cbe24a94d4f89df034ca1535585786682fe2e4da0e19bfb2c4a67153b436f0	52400
bin/fm-turnend-guard.sh	bdf55b2dd79a18087332e86749fdd8e359ee5f16b6ac06d78950bc97acb0f592	621344
bin/fm-update.sh	1d3b6d3e0027787daf0ebb61b414962987accaf6976da1a8494fbc6a6815d185	326864
bin/fm-vendor-auth-probe.sh	55a098bed766d7fdbc018e8c76d2d60ab969dda4f38a8dee25d21be632b886c4	41056
bin/fm-wake-drain.sh	d0366d1b5b255b138accc5b7ab9ce5bc2869ec3342631f397add013a9beb76c4	1019632
bin/fm-wake-gate.sh	55b65a58f4eb93d8b660509d21edd93868c558d4fd7d7f00faedce32b35d58e5	68784
bin/fm-wake-grant.sh	e9bfc82830914732c2e1b41e7d1900dd806f2755024509867f32886b869e8255	544608
bin/fm-wake-lib.sh	9aba87f3c8150f9ea16bfb8fffcb0b2f82155017965405478c266187a0a8ea0f	510816
bin/fm-watch-arm.sh	9b64864994e557813e7371652f4b65015dd864d520d43622e15ff0e5eff11bd9	654128
bin/fm-watch-checkpoint.sh	48f5e2834df0de37d3f591041214cbf657277717ddc4383d802e2a7bcad9ae1a	24608
bin/fm-watch.sh	9c96c87393d4a043c26494607b22ba81e1e0b4c86ef59a64700043fe5105ed44	2438160
bin/fm-x-dismiss.sh	8b3fd4fbba9a9a02ad3a5d19da9cbdd55fea319e0ff3ab798059f81b07ad1d07	411888
bin/fm-x-followup.sh	d11fb0deed2dec024a877053a1030fe80073b9a5be165c549218cbd5c6fa1a6e	947952
bin/fm-x-lib.sh	0d0a2766e903c5554f26fe2e97d1dff95d89599b20e4004574b49df50a5e5954	342768
bin/fm-x-link.sh	bcf0722146d61878f0b24060b4839ca8012e969c9e04714f12645a364f9eec03	1404064
